well_oligo	plate_oligo	cell_type	replicate	time_point	drug_dose	Combo	catalog_number	vehicle	dose_pattern	dose_character	dose	treatment	CAS.Number	M.w.	name	SMILES
plate7_A7	plate37	A549	rep2	24	S1001_3	plate7_A7plate37	S1001	FALSE	3	100	100	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate7_A7	plate45	MCF7	rep2	24	S1001_3	plate7_A7plate45	S1001	FALSE	3	100	100	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate7_A7	plate5	K562	rep1	24	S1001_2	plate7_A7plate5	S1001	FALSE	2	1000	1000	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate7_A7	plate13	A549	rep1	24	S1001_2	plate7_A7plate13	S1001	FALSE	2	1000	1000	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate7_A7	plate21	MCF7	rep1	24	S1001_2	plate7_A7plate21	S1001	FALSE	2	1000	1000	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate7_A1	plate29	K562	rep2	24	S1001_2	plate7_A1plate29	S1001	FALSE	2	1000	1000	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate7_A1	plate37	A549	rep2	24	S1001_2	plate7_A1plate37	S1001	FALSE	2	1000	1000	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate7_A1	plate45	MCF7	rep2	24	S1001_2	plate7_A1plate45	S1001	FALSE	2	1000	1000	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate7_A1	plate5	K562	rep1	24	S1001_1	plate7_A1plate5	S1001	FALSE	1	10000	10000	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate7_A1	plate13	A549	rep1	24	S1001_1	plate7_A1plate13	S1001	FALSE	1	10000	10000	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate7_A1	plate21	MCF7	rep1	24	S1001_1	plate7_A1plate21	S1001	FALSE	1	10000	10000	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate8_A7	plate30	K562	rep2	24	S1001_1	plate8_A7plate30	S1001	FALSE	1	10000	10000	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate8_A7	plate38	A549	rep2	24	S1001_1	plate8_A7plate38	S1001	FALSE	1	10000	10000	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate8_A7	plate46	MCF7	rep2	24	S1001_1	plate8_A7plate46	S1001	FALSE	1	10000	10000	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate8_C7	plate6	K562	rep1	24	S1002_4	plate8_C7plate6	S1002	FALSE	4	10	10	S1002	852808-04-9	813.43	ABT-737	CN(C)CCC(CSC1=CC=CC=C1)NC2=CC=C(C=C2[N+]([O-])=O)[S](=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=C(C=CC=C5)C6=CC=C(Cl)C=C6
